id,actorid
tt0018841,nm0055823
tt0024402,nm0055823
tt0005916,nm0061955
tt0016028,nm0064415
tt0017423,nm0064415
tt0021304,nm0064415
tt0022261,nm0064415
tt0023175,nm0064415
tt0023589,nm0064415
tt0014702,nm0064600
tt0019237,nm0064600
tt0019729,nm0064600
tt0020439,nm0064600
tt0020763,nm0064600
tt0020891,nm0064600
tt0021090,nm0064600
tt0021223,nm0064600
tt0021778,nm0064600
tt0021927,nm0064600
tt0022059,nm0064600
tt0022635,nm0064600
tt0022873,nm0064600
tt0023635,nm0064600
tt0023681,nm0064600
tt0024288,nm0064600
tt0024359,nm0064600
tt0024553,nm0064600
tt0023119,nm0066247
tt0023456,nm0066247
tt0017195,nm0067384
tt0016005,nm0068419
tt0016023,nm0068419
tt0016241,nm0068419
tt0017480,nm0068419
tt0018138,nm0068419
tt0021568,nm0068419
tt0022834,nm0068419
tt0023221,nm0071560
tt0004707,nm0071657
tt0004707,nm0071658
tt0018045,nm0076368
tt0022787,nm0076368
tt0018588,nm0076779
tt0007338,nm0077928
tt0002130,nm0078205
tt0014586,nm0083532
tt0023117,nm0083900
tt0023729,nm0087704
tt0002646,nm0088881
tt0014341,nm0090007
tt0022755,nm0090007
tt0020298,nm0092915
tt0021900,nm0092915
tt0023374,nm0092915
tt0023785,nm0092915
tt0024616,nm0092915
tt0011317,nm0097648
tt0015312,nm0097648
tt0015684,nm0097648
tt0016006,nm0097648
tt0016013,nm0097648
tt0018379,nm0097648
tt0019429,nm0097648
tt0020122,nm0097648
tt0020335,nm0097648
tt0020490,nm0097648
tt0021074,nm0097648
tt0021401,nm0097648
tt0021635,nm0097648
tt0022613,nm0097648
tt0022879,nm0097648
tt0023719,nm0097648
tt0024302,nm0097648
tt0024539,nm0097648
tt0023208,nm0101955
tt0023208,nm0101956
tt0016641,nm0102643
tt0020724,nm0102643
tt0021928,nm0102643
tt0022425,nm0102643
tt0022660,nm0102643
tt0023194,nm0102643
tt0023262,nm0102643
tt0023374,nm0102643
tt0023932,nm0102643
tt0024537,nm0102643
tt0024609,nm0102643
tt0024500,nm0102908
tt0018392,nm0104197
tt0011173,nm0106950
tt0016691,nm0106950
tt0015224,nm0107543
